chinese,pinyin,pali,sanskrit,context,category,notes,source,trans_known,added_by
授戒,,,,,,,S01,,pai8788@gmail.com
受戒,,,,,,,S01,,pai8788@gmail.com
三障礙（三毒）- 貪瞋痴,,,,,,,S01,,pai8788@gmail.com
調伏身心,,,,,,,S01,,pai8788@gmail.com
修習安忍,,,,,,,S01,,pai8788@gmail.com
佛説無爲最，忍辱第一道,,,,,,,S01,,pai8788@gmail.com
禪定,,,,,,,S01,,pai8788@gmail.com
習定,,,,,,,S01,,pai8788@gmail.com
惑業,,,,,,,S01,,pai8788@gmail.com
二妄（昏沉、掉擧）,,,,,,,S01,,pai8788@gmail.com
睡眠魔,,,,,,,S01,,pai8788@gmail.com
安住所緣,,,,,,,S01,,pai8788@gmail.com
一住 ~ 九住,,,,,,,S01,1st stage to 9th stage of meditaion,pai8788@gmail.com
因果業力,,,,,,,S01,,pai8788@gmail.com
感報,,,,,,,S01,,pai8788@gmail.com
常樂覺境,,,,,,,S01,,pai8788@gmail.com
般若法義 - 最高法義,,,,,,,S01,,pai8788@gmail.com
本來面目,,,,,,,S01,,pai8788@gmail.com
真如,,,,,,,S01,,pai8788@gmail.com
六百卷般若經,,,,,,,S01,,pai8788@gmail.com
文殊菩薩,,,,,,,S01,,pai8788@gmail.com
無言表法,,,,,,,S01,,pai8788@gmail.com
至高無上精妙,,,,,,,S01,,pai8788@gmail.com
般若實相,,,,,,,S01,,pai8788@gmail.com
性源本空,,,,,,,S01,,pai8788@gmail.com
萬法無常性,,,,,,,S01,,pai8788@gmail.com
證般若,,,,,,,S01,,pai8788@gmail.com
幻化,,,,,,,S01,,pai8788@gmail.com
假有,,,,,,,S01,,pai8788@gmail.com
因緣和合而生,,,,,,,S01,,pai8788@gmail.com
五毒,,,,,,,S01,,pai8788@gmail.com
幻相,,,,,,,S01,,pai8788@gmail.com
誹謗,,,,,,,S01,,pai8788@gmail.com
現世報,,,,,,,S01,,pai8788@gmail.com
有漏之因,,,,,,,S01,,pai8788@gmail.com
空性慧,,,,,,,S01,,pai8788@gmail.com
羅漢證果,,,,,,,S01,,pai8788@gmail.com
菩薩登地,,,,,,,S01,,pai8788@gmail.com
大乘教法,,,,,,,S01,,pai8788@gmail.com
大乘行人,,,,,,,S01,,pai8788@gmail.com
自渡,,,,,,,S01,,pai8788@gmail.com
傷生害命,,,,,,,S01,,pai8788@gmail.com
金剛法,,,,,,,S01,,pai8788@gmail.com
甘露大法,,,,,,,S01,,pai8788@gmail.com
芸芸衆生,,,,,,,S01,,pai8788@gmail.com
開悟心性,,,,,,,S01,,pai8788@gmail.com
生起次第,,,,,,,S01,,pai8788@gmail.com
自性,,,,,,,S01,,pai8788@gmail.com
僧尼,,,,,,,S01,,pai8788@gmail.com
八萬四千法門,,,,,,,S01,,pai8788@gmail.com
明心見性,,,,,,,S01,,pai8788@gmail.com
自心本性；本性,,,,,,,S01,,pai8788@gmail.com
人無我相,,,,,,,S01,,pai8788@gmail.com
自性實相,,,,,,,S01,,pai8788@gmail.com
心中心法,,,,,,,S01,,pai8788@gmail.com
大手印法,,,,,,,S01,,pai8788@gmail.com
大圓滿法,,,,,,,S01,,pai8788@gmail.com
悟見證,,,,,,,S01,,pai8788@gmail.com
三皆有情,,,,,,,S01,,pai8788@gmail.com
清净法身,,,,,,,S01,,pai8788@gmail.com
如來法身,,,,,,,S01,,pai8788@gmail.com
宇宙同體,,,,,,,S01,,pai8788@gmail.com
佛性,,,,,,,S01,,pai8788@gmail.com
般若妙智,,,,,,,S01,,pai8788@gmail.com
戒定慧,,,,,,,S01,,pai8788@gmail.com
正知大定,,,,,,,S01,,pai8788@gmail.com
如來大定,,,,,,,S01,,pai8788@gmail.com
法軌律儀；律儀法軌,,,,,,,S01,,pai8788@gmail.com
如法而修,,,,,,,S01,,pai8788@gmail.com
國師,,,,,,,S01,,pai8788@gmail.com
修爲,,,,,,,S01,,pai8788@gmail.com
證德證境證量,,,,,,,S01,,pai8788@gmail.com
神通變化,,,,,,,S01,,pai8788@gmail.com
皈依三寶、四寶,,,,,,,S01,,pai8788@gmail.com
内密,,,,,,,S01,,pai8788@gmail.com
密密部,,,,,,,S01,,pai8788@gmail.com
咒師,,,,,,,S01,,pai8788@gmail.com
密乘行人,,,,,,,S01,,pai8788@gmail.com
金剛薩埵,,,,,,,S01,,pai8788@gmail.com
三時轉法輪,,,,,,,S01,,pai8788@gmail.com
《悉真論》,,,,,,,S01,,pai8788@gmail.com
修佛降真精甘露,,,,,,,S01,,pai8788@gmail.com
顯軌圓通,,,,,,,S01,,pai8788@gmail.com
五明圓滿,,,,,,,S01,,pai8788@gmail.com
時輪金剛,,,,,,,S01,,pai8788@gmail.com
上樂金剛,,,,,,,S01,,pai8788@gmail.com
獅子金剛,,,,,,,S01,,pai8788@gmail.com
獨髪母,,,,,,,S01,,pai8788@gmail.com
師資,,,,,,,S01,,pai8788@gmail.com
佛陀上師,,,,,,,S01,,pai8788@gmail.com
尊勝大法王,,,,,,,S01,,pai8788@gmail.com
如來法藏,,,,,,,S01,,pai8788@gmail.com
自覺覺他,,,,,,,S01,,pai8788@gmail.com
冒稱師戒,,,,,,,S01,,pai8788@gmail.com
傳假法戒,,,,,,,S01,,pai8788@gmail.com
佛母,,,,,,,S01,,pai8788@gmail.com
師母,,,,,,,S01,,pai8788@gmail.com
超渡亡靈,,,,,,,S01,,pai8788@gmail.com
功夫本事,,,,,,,S01,,pai8788@gmail.com
道量,,,,,,,S01,,pai8788@gmail.com
疑師疑法,,,,,,,S01,,pai8788@gmail.com
無過行,,,,,,,S01,,pai8788@gmail.com
有過行,,,,,,,S01,,pai8788@gmail.com
稀有難得,,,,,,,S01,,pai8788@gmail.com
我師得見燃燈佛，多劫成爲忍辱仙,,,,,,,S01,,pai8788@gmail.com
百千萬劫難遭遇,,,,,,,S01,,pai8788@gmail.com
迷信,,,,,,,S01,,pai8788@gmail.com
四大皆空,,,,,,,S01,,pai8788@gmail.com
金剛瑜伽母,,,,,,,S01,,pai8788@gmail.com
尊者,,,,,,,S01,,pai8788@gmail.com
罪孽,,,,,,,S01,,pai8788@gmail.com
達媚瑪佛母,,,,,,,S01,,pai8788@gmail.com
密勒日巴大師,,,,,,,S01,,pai8788@gmail.com
大力,,,,,,,S01,,pai8788@gmail.com
苦行,,,,,,,S01,,pai8788@gmail.com
僧寳,,,,,,,S01,,pai8788@gmail.com
佛寶,,,,,,,S01,,pai8788@gmail.com
私心雜念,,,,,,,S01,,pai8788@gmail.com
無比殊勝,,,,,,,S01,,pai8788@gmail.com
知見不正,,,,,,,S01,,pai8788@gmail.com
密行三昧戒,,,,,,,S01,,pai8788@gmail.com
下三道,,,,,,,S01,,pai8788@gmail.com
《因明論》,,,,,,,S01,,pai8788@gmail.com
駑鈍根器,,,,,,,S01,,pai8788@gmail.com
慚愧者,,,,,,,S01,,pai8788@gmail.com
人、非人,,,,,,,S01,,pai8788@gmail.com
佛法大事因緣,,,,,,,S01,,pai8788@gmail.com
邪行,,,,,,,S01,,pai8788@gmail.com
極樂世界,,,,,,,S01,,pai8788@gmail.com
十方佛土,,,,,,,S01,,pai8788@gmail.com
一念之隔,,,,,,,S01,,pai8788@gmail.com
轉念之間,,,,,,,S01,,pai8788@gmail.com
貪著,,,,,,,S01,,pai8788@gmail.com
魔的使者,,,,,,,S01,,pai8788@gmail.com
業報身,,,,,,,S01,karmic retribution/reward body,pai8788@gmail.com
轉生,,,,,,,S01,,pai8788@gmail.com
共業,,,,,,,S01,,pai8788@gmail.com
靈知心識,,,,,,,S01,,pai8788@gmail.com
蒲團,,,,,,,S01,,pai8788@gmail.com
剃度,,,,,,,S01,cut off one's hair (and go forth from household life; renounce worldly desires),pai8788@gmail.com
妙音佛母,,,,,,,S01,,pai8788@gmail.com
福慧雙運,,,,,,,S01,,pai8788@gmail.com
頂吉,,,,,,,S01,,pai8788@gmail.com
表法,,,,,,,S01,,pai8788@gmail.com
大德高士,,,,,,,S01,a person of great virtue,pai8788@gmail.com
化光,,,,,,,S01,,pai8788@gmail.com
護法聖眾,,,,,,,S01,,pai8788@gmail.com
聖因法會,,,,,,,S01,,pai8788@gmail.com
悉地,,,,,,,S01,,pai8788@gmail.com
佛國甘露,,,,,,,S01,,pai8788@gmail.com
無中生有,,,,,,,S01,,pai8788@gmail.com
因明,,,,,,,S01,,pai8788@gmail.com
堪布,,,,,,,S01,,pai8788@gmail.com
十大宗派：净土、禪宗、華嚴、唯識法相、,,,,,,,S01,,pai8788@gmail.com
念佛觀修法門,,,,,,,S01,,pai8788@gmail.com
參話頭,,,,,,,S01,,pai8788@gmail.com
頓悟、漸悟,,,,,,,S01,,pai8788@gmail.com
法界觀境,,,,,,,S01,,pai8788@gmail.com
水陸法會,,,,,,,S01,,pai8788@gmail.com
焰口,,,,,,,S01,,pai8788@gmail.com
五論,,,,,,,S01,,pai8788@gmail.com
十三論,,,,,,,S01,,pai8788@gmail.com
百種論,,,,,,,S01,,pai8788@gmail.com
共與不共曼荼羅,,,,,,,S01,,pai8788@gmail.com
顯論密軌,,,,,,,S01,,pai8788@gmail.com
信願行,,,,,,,S01,,pai8788@gmail.com
六度萬行,,,,,,,S01,,pai8788@gmail.com
大日如來,,,,,,,S01,,pai8788@gmail.com
善知識,,,,,,,S01,,pai8788@gmail.com
南華寺,,,,,,,S01,,pai8788@gmail.com
慧能,,,,,,,S01,,pai8788@gmail.com
小喇嘛,,,,,,,S01,,pai8788@gmail.com
經辯,,,,,,,S01,,pai8788@gmail.com
三身四智,,,,,,,S01,,pai8788@gmail.com
西密,,,,,,,S01,,pai8788@gmail.com
東密,,,,,,,S01,,pai8788@gmail.com
賢劫,,,,,,,S01,,pai8788@gmail.com
格魯巴,,,,,,,S01,,pai8788@gmail.com
宗喀巴大師,,,,,,,S01,,pai8788@gmail.com
法本,,,,,,,S01,,pai8788@gmail.com
上承法統，下化衆生,,,,,,,S01,,pai8788@gmail.com
《中觀論》,,,,,,,S01,,pai8788@gmail.com
《俱舍論》,,,,,,,S01,,pai8788@gmail.com
《無常論》,,,,,,,S01,,pai8788@gmail.com
《解脫道論》,,,,,,,S01,,pai8788@gmail.com
《百法明門論》,,,,,,,S01,,pai8788@gmail.com
班禪大師,,,,,,,S01,,pai8788@gmail.com
降養欽真老法王,,,,,,,S01,,pai8788@gmail.com
持明尊者,,,,,,,S01,,pai8788@gmail.com
淺巴法王子,,,,,,,S01,,pai8788@gmail.com
真身應世,,,,,,,S01,,pai8788@gmail.com
慚愧行者,,,,,,,S01,,pai8788@gmail.com
巨德,,,,,,,S01,,pai8788@gmail.com
無我母,,,,,,,S01,,pai8788@gmail.com
阿底峽尊者,,,,,,,S01,,pai8788@gmail.com
大活佛；八大活佛（仁波切大力）,,,,,,,S01,Great Rinpoche;,pai8788@gmail.com
四大法子；心子,,,,,,,S01,,pai8788@gmail.com
魔力,,,,,,,S01,,pai8788@gmail.com
噶瑪 多杰洛桑老法王,,,,,,,S01,,pai8788@gmail.com
噶瑪 普巴法鑒仁波切,,,,,,,S01,,pai8788@gmail.com
坐化,,,,,,,S01,,pai8788@gmail.com
金剛不壞舍利,,,,,,,S01,,pai8788@gmail.com
學巴派,,,,,,,S01,,pai8788@gmail.com
噶瑪 德格降措西拉仁波切,,,,,,,S01,,pai8788@gmail.com
康欽仁波切,,,,,,,S01,,pai8788@gmail.com
噶瑪 敦增卓嘎仁波切,,,,,,,S01,,pai8788@gmail.com
修法加持,,,,,,,S01,,pai8788@gmail.com
舉行法會,,,,,,,S01,,pai8788@gmail.com
班禪仁波切,,,,,,,S01,,pai8788@gmail.com
十六世噶瑪巴,,,,,,,S01,,pai8788@gmail.com
多杰洛桑 無垢光尊者,,,,,,,S01,,pai8788@gmail.com
賢劫千佛,,,,,,,S01,,pai8788@gmail.com
禪定功夫,,,,,,,S01,,pai8788@gmail.com
莊嚴德相,,,,,,,S01,,pai8788@gmail.com
頓鬚速長,,,,,,,S01,,pai8788@gmail.com
轉化、轉換,,,,,,,S01,,pai8788@gmail.com
謙虛謹慎,,,,,,,S01,,pai8788@gmail.com
修持、轉世、投胎、渡生,,,,,,,S01,,pai8788@gmail.com
金剛杵,,,,,,,S01,,pai8788@gmail.com
三昧真火,,,,,,,S01,,pai8788@gmail.com
三密法水,,,,,,,S01,,pai8788@gmail.com
魔性,,,,,,,S01,,pai8788@gmail.com
惡行,,,,,,,S01,,pai8788@gmail.com
長德,,,,,,,S01,elders,pai8788@gmail.com
觀空,,,,,,,S01,,pai8788@gmail.com
了得業障本來空，未了先須還俗債,,,,,,,S01,,pai8788@gmail.com
《金剛密鑒》,,,,,,,S01,,pai8788@gmail.com
邊見,,,,,,,S01,,pai8788@gmail.com
偏見,,,,,,,S01,,pai8788@gmail.com
朝拜禮供,,,,,,,S01,,pai8788@gmail.com
大悲爲本,,,,,,,S01,,pai8788@gmail.com
斷我法二執,,,,,,,S01,,pai8788@gmail.com
那洛巴大師,,,,,,,S01,,pai8788@gmail.com
彭達巴,,,,,,,S01,,pai8788@gmail.com
坎達巴,,,,,,,S01,,pai8788@gmail.com
希寧波,,,,,,,S01,,pai8788@gmail.com
喜哇桑波,,,,,,,S01,,pai8788@gmail.com
梅紀巴,,,,,,,S01,,pai8788@gmail.com
白教大宗師,,,,,,,S01,,pai8788@gmail.com
離師邊行（戒）,,,,,,,S01,,pai8788@gmail.com
我事勝佛（戒）,,,,,,,S01,,pai8788@gmail.com
悉地加持力,,,,,,,S01,,pai8788@gmail.com
自然智見,,,,,,,S01,,pai8788@gmail.com
光明智見,,,,,,,S01,,pai8788@gmail.com
大圓智見,,,,,,,S01,,pai8788@gmail.com
般若智見,,,,,,,S01,,pai8788@gmail.com
耳傳法,,,,,,,S01,,pai8788@gmail.com
空行母,,,,,,,S01,,pai8788@gmail.com
氣入心升空,,,,,,,S01,,pai8788@gmail.com
天耳通,,,,,,,S01,,pai8788@gmail.com
漏盡通,,,,,,,S01,,pai8788@gmail.com
巡視觀照護法,,,,,,,S01,,pai8788@gmail.com
神通法力,,,,,,,S01,supernormal Dharma power,pai8788@gmail.com
脈輪；脈結,,,,,,,S01,,pai8788@gmail.com
内壇城,,,,,,,S01,,pai8788@gmail.com
法力圓開,,,,,,,S01,,pai8788@gmail.com
合於一體,,,,,,,S01,,pai8788@gmail.com
化光,,,,,,,S01,,pai8788@gmail.com
佛史,,,,,,,S01,,pai8788@gmail.com
虛空,,,,,,,S01,,pai8788@gmail.com
實修,,,,,,,S01,true cultivation,pai8788@gmail.com
行持法典,,,,,,,S01,,pai8788@gmail.com
心中精要,,,,,,,S01,,pai8788@gmail.com
三昧光明照見,,,,,,,S01,,pai8788@gmail.com
三寶弟子,,,,,,,S01,,pai8788@gmail.com
七眾行人,,,,,,,S01,,pai8788@gmail.com
毗盧遮那佛大日如來,,,,,,,S01,,pai8788@gmail.com
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
